  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       20856
  TCP    127.0.0.1:8000         127.0.0.1:50330        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:50919        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:53250        ESTABLISHED     20856
  TCP    127.0.0.1:8000         127.0.0.1:53390        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:54593        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:54986        ESTABLISHED     20856
  TCP    127.0.0.1:8000         127.0.0.1:56260        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:59741        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:62231        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:64317        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:64889        ESTABLISHED     20856
  TCP    127.0.0.1:53250        127.0.0.1:8000         ESTABLISHED     1184
  TCP    127.0.0.1:54986        127.0.0.1:8000         ESTABLISHED     3756
  TCP    127.0.0.1:64889        127.0.0.1:8000         ESTABLISHED     3756
