  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       25004
  TCP    127.0.0.1:8000         127.0.0.1:50797        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:51387        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:51937        ESTABLISHED     25004
  TCP    127.0.0.1:8000         127.0.0.1:52274        ESTABLISHED     25004
  TCP    127.0.0.1:8000         127.0.0.1:53512        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:53814        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:54113        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:55356        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:57178        ESTABLISHED     25004
  TCP    127.0.0.1:8000         127.0.0.1:57396        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:57541        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:57944        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:58518        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:59682        TIME_WAIT       0
  TCP    127.0.0.1:8000         127.0.0.1:65205        ESTABLISHED     25004
  TCP    127.0.0.1:51937        127.0.0.1:8000         ESTABLISHED     1184
  TCP    127.0.0.1:52149        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:52274        127.0.0.1:8000         ESTABLISHED     1184
  TCP    127.0.0.1:57178        127.0.0.1:8000         ESTABLISHED     3756
  TCP    127.0.0.1:61915        127.0.0.1:8000         TIME_WAIT       0
  TCP    127.0.0.1:65205        127.0.0.1:8000         ESTABLISHED     3756
